feature,tree_importance,permutation_importance,shap_importance,avg_importance
date_unregistration,0.31307420494699645,1.0,1.0,0.7710247349823321
assessment_submission_rate,0.5625441696113074,0.3984571660576533,0.8442072288099514,0.6017361881596374
avg_assessment_score,0.8780918727915193,0.06796589524969543,0.2503743312800538,0.3988106997737562
avg_score_TMA,1.0,0.046041412911084025,0.11991028935780927,0.3886505674229644
avg_score_Exam,0.5982332155477031,0.19224522939504668,0.24618930061274533,0.34555591518516504
clicks_homepage,0.9190812720848056,0.0066585464880227355,0.06456456305993186,0.33010146054425343
clicks_oucontent,0.876678445229682,0.00816077953714985,0.05293185935944295,0.31259036137542495
clicks_forumng,0.8498233215547703,0.009703613479496498,0.04083440092735085,0.30012044532053916
clicks_resource,0.8445229681978799,0.014535119772634981,0.040610673545677614,0.29988958717206415
clicks_per_activity,0.831095406360424,0.008972797401542838,0.05416662104942447,0.29807827493713046
clicks_quiz,0.7802120141342755,0.008607389362565963,0.05920085777430674,0.28267342042371607
clicks_subpage,0.7703180212014133,0.013398294762484712,0.0625300401830612,0.2820821187156531
num_unique_activities,0.6459363957597173,0.010962241169305718,0.060378725046321545,0.2390924539917815
avg_score_CMA,0.653356890459364,0.006049533089727936,0.025124239642961833,0.22817688773068456
total_clicks,0.6371024734982332,0.008241981323589092,0.03290754747194863,0.22608400076459034
clicks_url,0.5996466431095406,0.00576532683719039,0.04293458060418128,0.21611551685030414
studied_credits,0.38975265017667843,0.0019488428745431708,0.03471431588159358,0.14213860297760506
num_assessments_submitted,0.21802120141342754,0.02683719041818919,0.17669445715023202,0.1405176163272829
clicks_ouwiki,0.3597173144876325,0.006049533089727965,0.03404158381179836,0.1332694771297196
total_assessments,0.2989399293286219,0.00702395452699958,0.06176146090360706,0.12257511491974284
clicks_oucollaborate,0.2862190812720848,0.0007308160779536893,0.010718518487359966,0.0992228052791328
clicks_glossary,0.2586572438162544,0.0025172553796182625,0.011072371761451271,0.09074895698577463
clicks_page,0.20636042402826854,0.005684125050751091,0.033563788466844484,0.08186944584862137
did_unregister,0.03745583038869258,0.0021112464474217687,0.15198818180568058,0.06385175288059831
highest_education_Lower Than A Level,0.15335689045936396,0.0035322777101095557,0.028662938595652318,0.061850702255041946
clicks_externalquiz,0.14240282685512368,0.01786439301664635,0.02331646804041548,0.06119456263739517
clicks_dataplus,0.14028268551236747,0.004506699147381171,0.01857618205841865,0.05445518890605577
gender_M,0.14487632508833923,0.0036540803897685045,0.014086386284559112,0.054205597254222276
clicks_questionnaire,0.14452296819787985,0.00012180267965894833,0.007118256099842135,0.050587675659126974
age_band_35-55,0.12402826855123675,0.001218026796589482,0.006681901837832096,0.043976065728552775
clicks_htmlactivity,0.11484098939929328,0.002598457166057561,0.005809401404009289,0.041082949323120045
clicks_ouelluminate,0.10742049469964664,0.0022330491270807166,0.0068836045050224585,0.038845716110583274
imd_band_10-20,0.09823321554770317,0.003288672350791601,0.01232580181922896,0.03794922990590791
clicks_dualpane,0.10035335689045936,0.0027202598457165095,0.00429766191867327,0.03579042621828305
highest_education_HE Qualification,0.09363957597173145,0.004019488428745349,0.005428631832045259,0.034362565410840686
imd_band_20-30%,0.0911660777385159,0.0019082419813235215,0.007111044421673793,0.033395121380504406
imd_band_60-70%,0.09081272084805653,0.0030450669914737043,0.005753516123916166,0.03320376798781547
region_South West Region,0.08833922261484098,0.0009338205440519362,0.00928029384313058,0.03285111233400783
region_London Region,0.08197879858657244,0.003004466098254055,0.009441616320654128,0.03147496033516021
region_South Region,0.08374558303886925,0.0027202598457165095,0.007849964169113429,0.031438602351233066
kmeans_cluster,0.07738515901060071,0.0024360535931789635,0.013037693537995396,0.030952968713925024
region_Ireland,0.08197879858657244,0.003004466098254055,0.002255448454146699,0.029079571046324398
clicks_folder,0.0685512367491166,0.005805927730410127,0.012528606470031256,0.028961923649852662
imd_band_30-40%,0.08091872791519435,0.00044660982541614336,0.004458955410752679,0.028608097717121056
region_North Western Region,0.06996466431095406,0.0030856678846933835,0.011583079944866643,0.028211137380171364
region_West Midlands Region,0.07031802120141342,0.00324807145757201,0.010229707891599186,0.027931933516861542
region_Scotland,0.07420494699646643,0.0037758830694273934,0.0050185246848109925,0.02766645158356827
imd_band_70-80%,0.07561837455830388,0.002273650020300366,0.004360619719132917,0.02741754809924572
disability_Y,0.07031802120141342,0.001218026796589482,0.005837247445169629,0.02579109848105751
num_of_prev_attempts,0.0685512367491166,0.0025172553796182625,0.005927021798308106,0.025665171309014325
imd_band_40-50%,0.0685512367491166,0.0008932196508322869,0.0067091826349388465,0.02538454634496258
imd_band_50-60%,0.06537102473498232,0.0034104750304505783,0.007354189539329515,0.02537856310158747
region_Wales,0.0636042402826855,0.00267965895249686,0.0052575239907530465,0.023847141075311804
region_East Midlands Region,0.05936395759717314,0.0031668696711326526,0.0028630948286957935,0.02179797403233386
region_North Region,0.05901060070671378,0.002151847340641418,0.0024066357164689287,0.021189694587941375
dbscan_cluster,0.051590106007067135,0.0019894437677628204,0.003399060673747045,0.018992870149525668
region_South East Region,0.04734982332155477,0.002273650020300366,0.004760528152143967,0.0181280004979997
region_Yorkshire Region,0.04770318021201413,0.0,0.0047150194749156675,0.017472733228976602
imd_band_80-90%,0.043462897526501766,0.002151847340641418,0.0043433808796946695,0.016652708582279286
imd_band_90-100%,0.042049469964664306,0.0022330491270807166,0.004167751908007134,0.016150090333250718
highest_education_No Formal quals,0.017314487632508833,0.0021112464474217687,0.0013702226244382506,0.006931985568122952
highest_education_Post Graduate Qualification,0.0176678445229682,0.002151847340641418,0.00044394970118766795,0.006754547188265761
clicks_sharedsubpage,0.013074204946996466,0.0021924482338610673,0.00027629374932912,0.005180982310062218
age_band_55<=,0.012367491166077738,0.0018270401948842227,0.0010567048945213876,0.00508374541849445
clicks_repeatactivity,0.0,0.0021924482338610673,0.0,0.0007308160779536891
